x,y
0.2324661868534855,3
-0.3706129211316352,1
0.9297312154967414,4
0.35660561666655577,1
0.3871763862781431,2
0.4305022961804571,2
0.8941022780221362,4
0.4773238028459246,2
-0.3632268338126629,0
-0.8055990913107938,0
0.4551102150921646,1
0.1492278315566773,1
0.11088120218636548,1
1.919641110356969,8
-0.6319703455206047,0
-0.29911340141697873,0
0.23397191075097465,3
0.8833311276232969,1
-0.23149352579231286,0
0.5730503161440426,1
-1.5568586376868812,0
1.7215482886809423,5
-0.07751126876240427,2
0.1486735130581221,1
-0.1290189394185531,1
1.2831937268530702,5
0.05496411282569882,3
-0.9116660879780668,0
-0.6613906278745479,0
0.02600489056703531,0
-0.3103286521482315,0
0.9954549490920014,6
0.08217879357861403,1
-0.7274962302366862,2
1.179011598306294,4
0.6065985868619674,1
1.4137427155836422,4
-0.5521889215410052,1
-0.036527349756115164,0
-0.9345444653909566,1
-0.6387414764846568,0
-0.694020402588716,1
-0.3216167659818405,0
0.2326005693788259,1
-0.5144854323408166,0
-0.13186185206024925,0
-1.484348991974461,0
0.2943715343942553,1
-0.4787246721776486,0
-0.08166414367445357,0
1.867096033695402,10
1.202562074305788,5
-0.5776874923557971,0
-0.546819577022692,0
-0.6504387970847902,2
0.6877994914737574,2
0.36269604023642416,2
0.6586188820287168,1
-0.4596289813170426,0
-1.0581505974654046,0
-1.2729487475003662,0
-0.1155003360954338,1
-1.815349146839882,0
-0.5291480077661848,1
-0.3084495158574904,0
-0.2646349157866457,0
-1.4900889287922146,0
0.059619042552964525,2
0.33797709791504343,0
-0.8016484887235534,0
1.6133872095617452,6
-0.12731055066224334,1
0.3575310854284193,4
-2.0276506662362173,0
0.9598310573580502,1
0.7518679149475012,2
-0.13467095482464744,0
0.4656763252180414,2
-0.49404097231451205,0
-1.1971697436853197,0
-0.8393533136627478,0
-0.042188473072734746,1
0.8060736783930803,1
0.6668184626514349,2
-0.6150825757343195,0
0.6868437795585698,2
-0.5197516721821406,2
0.22116198629628606,1
-0.4763757793225765,0
-1.4920072642431144,0
0.826106606083999,1
-0.02282682762959756,0
0.8222149224310733,6
0.6795402395508428,0
0.5135865171579533,2
0.21691108452518876,0
-0.6683255863646149,1
0.1017708291877962,1
-0.7739050506596081,1
-0.3114362922810421,0
0.5238337248559318,1
